"cd-rfile"
"Iteration" "cd"
("Iteration" "cd")
1 1.106869
2 1.021809
3 0.9170417
4 0.7740171
5 0.6575918
6 0.5382617
7 0.4710044
8 0.4227467
9 0.3819287
10 0.3467598
11 0.3107321
12 0.2805271
13 0.2441387
14 0.2070291
15 0.1726482
16 0.1383084
17 0.1070862
18 0.07939379
19 0.05291831
20 0.02898939
21 0.009285193
22 -0.00381845
23 -0.005485119
24 0.002440365
25 0.0183871
26 0.03068513
27 0.03791319
28 0.03842474
29 0.03922601
30 0.0391641
31 0.03945266
32 0.04021389
33 0.04096605
34 0.04065251
35 0.03933638
36 0.03755879
37 0.03517191
38 0.03270363
39 0.03036452
40 0.0284011
41 0.02706618
42 0.02637232
43 0.02644671
44 0.02711242
45 0.02797724
46 0.02878068
47 0.02956371
48 0.03032485
49 0.03085232
50 0.03122453
51 0.03156404
52 0.03188638
53 0.03208846
54 0.03218482
55 0.03221002
56 0.0319595
57 0.031652
58 0.03122781
59 0.03083978
60 0.03048865
61 0.03017369
62 0.02984824
63 0.02952019
64 0.02914259
65 0.02869292
66 0.02830167
67 0.02790351
68 0.02753283
69 0.02718015
70 0.02683191
71 0.02654542
72 0.02625637
73 0.02604244
74 0.02575853
75 0.02547061
76 0.02521571
77 0.02498553
